pdb,path,url,protein,virus,method,resolution,rmsd,rwork,rfree
4ufb,../pdb\human_interaction_partners\ACE2\4ufb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\4ufb,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.8,,0.20671,0.2351
5am8,../pdb\human_interaction_partners\ACE2\5am8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\5am8,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.9,,0.18543,0.22382
5am9,../pdb\human_interaction_partners\ACE2\5am9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\5am9,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.8,,0.19674,0.22907
5ama,../pdb\human_interaction_partners\ACE2\5ama,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\5ama,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.8,,0.18675,0.21764
5amb,../pdb\human_interaction_partners\ACE2\5amb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\5amb,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.5,,0.1575,0.18115
5amc,../pdb\human_interaction_partners\ACE2\5amc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\5amc,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.65,,0.20772,0.24169
6en5,../pdb\human_interaction_partners\ACE2\6en5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\6en5,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.75,,0.1728,0.1976
6en6,../pdb\human_interaction_partners\ACE2\6en6,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\6en6,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.8,,0.1934,0.2263
6f9r,../pdb\human_interaction_partners\ACE2\6f9r,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\6f9r,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.85,,0.1984,0.228
6f9t,../pdb\human_interaction_partners\ACE2\6f9t,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\6f9t,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.6,,0.1647,0.187
6f9u,../pdb\human_interaction_partners\ACE2\6f9u,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\6f9u,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.9,,0.1672,0.2088
6f9v,../pdb\human_interaction_partners\ACE2\6f9v,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\6f9v,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.69,,0.1834,0.2121
6h5w,../pdb\human_interaction_partners\ACE2\6h5w,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\6h5w,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.37,,0.1452,0.1753
6h5x,../pdb\human_interaction_partners\ACE2\6h5x,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\6h5x,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.8,,0.1644,0.2038
6m18,../pdb\human_interaction_partners\ACE2\6m18,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\6m18,..,pdb\human_interaction_partners\ACE2,ELECTRON MICROSCOPY,0,2.9,,,
6m1d,../pdb\human_interaction_partners\ACE2\6m1d,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\6m1d,..,pdb\human_interaction_partners\ACE2,ELECTRON MICROSCOPY,0,4.5,,,
6qs1,../pdb\human_interaction_partners\ACE2\6qs1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\ACE2\6qs1,..,pdb\human_interaction_partners\ACE2,X-RAY DIFFRACTION,0,1.8,,0.2016,0.2323
1cjl,../pdb\human_interaction_partners\Cathepsin_L\1cjl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\1cjl,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,2.2,,0.182,0.241
1cs8,../pdb\human_interaction_partners\Cathepsin_L\1cs8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\1cs8,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.8,,0.2066,0.2285
1icf,../pdb\human_interaction_partners\Cathepsin_L\1icf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\1icf,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,2.0,,0.182,0.213
1mhw,../pdb\human_interaction_partners\Cathepsin_L\1mhw,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\1mhw,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.9,,0.1846,0.2295
2nqd,../pdb\human_interaction_partners\Cathepsin_L\2nqd,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\2nqd,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.74,,0.148,0.188
2vhs,../pdb\human_interaction_partners\Cathepsin_L\2vhs,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\2vhs,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.5,,0.188,0.22
2xu1,../pdb\human_interaction_partners\Cathepsin_L\2xu1,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\2xu1,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.45,,0.23367,0.27217
2xu3,../pdb\human_interaction_partners\Cathepsin_L\2xu3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\2xu3,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,0.9,,0.14183,0.15473
2xu4,../pdb\human_interaction_partners\Cathepsin_L\2xu4,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\2xu4,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.1,,0.14036,0.16725
2xu5,../pdb\human_interaction_partners\Cathepsin_L\2xu5,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\2xu5,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.52,,0.21691,0.27583
2yj2,../pdb\human_interaction_partners\Cathepsin_L\2yj2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\2yj2,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.12,,0.14535,0.17855
2yj8,../pdb\human_interaction_partners\Cathepsin_L\2yj8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\2yj8,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.3,,0.14055,0.18159
2yj9,../pdb\human_interaction_partners\Cathepsin_L\2yj9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\2yj9,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.35,,0.15033,0.20091
2yjb,../pdb\human_interaction_partners\Cathepsin_L\2yjb,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\2yjb,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.4,,0.15887,0.21779
2yjc,../pdb\human_interaction_partners\Cathepsin_L\2yjc,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\2yjc,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.14,,0.14546,0.18362
3bc3,../pdb\human_interaction_partners\Cathepsin_L\3bc3,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\3bc3,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,2.2,,0.183,0.234
3h89,../pdb\human_interaction_partners\Cathepsin_L\3h89,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\3h89,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,2.43,,0.22,0.28
3h8b,../pdb\human_interaction_partners\Cathepsin_L\3h8b,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\3h8b,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.79,,0.216,0.25
3h8c,../pdb\human_interaction_partners\Cathepsin_L\3h8c,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\3h8c,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,2.5,,0.237,0.292
3hha,../pdb\human_interaction_partners\Cathepsin_L\3hha,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\3hha,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.27,,0.11632,0.15237
3hwn,../pdb\human_interaction_partners\Cathepsin_L\3hwn,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\3hwn,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,2.33,,0.24991,0.34718
3iv2,../pdb\human_interaction_partners\Cathepsin_L\3iv2,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\3iv2,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,2.2,,0.2021,0.24376
3k24,../pdb\human_interaction_partners\Cathepsin_L\3k24,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\3k24,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,2.5,,0.20926,0.27002
3kse,../pdb\human_interaction_partners\Cathepsin_L\3kse,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\3kse,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.69,,0.153,0.204
3of8,../pdb\human_interaction_partners\Cathepsin_L\3of8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\3of8,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,2.2,,0.1939,0.253
3of9,../pdb\human_interaction_partners\Cathepsin_L\3of9,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\3of9,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.7,,0.2244,0.2494
4axl,../pdb\human_interaction_partners\Cathepsin_L\4axl,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\4axl,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.92,,0.18843,0.2303
4axm,../pdb\human_interaction_partners\Cathepsin_L\4axm,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\4axm,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,2.72,,0.18777,0.25716
5f02,../pdb\human_interaction_partners\Cathepsin_L\5f02,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\5f02,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.43,,0.1432,0.19057
5i4h,../pdb\human_interaction_partners\Cathepsin_L\5i4h,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\5i4h,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.419,,0.1626,0.1841
5mae,../pdb\human_interaction_partners\Cathepsin_L\5mae,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\5mae,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.0,,0.14722,0.18213
5maj,../pdb\human_interaction_partners\Cathepsin_L\5maj,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\5maj,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.0,,0.13639,0.16999
5mqy,../pdb\human_interaction_partners\Cathepsin_L\5mqy,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\5mqy,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.13,,0.14869,0.19898
6ezp,../pdb\human_interaction_partners\Cathepsin_L\6ezp,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\6ezp,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.37,,0.21086,0.23336
6ezx,../pdb\human_interaction_partners\Cathepsin_L\6ezx,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\6ezx,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,2.34,,0.22152,0.29685
6f06,../pdb\human_interaction_partners\Cathepsin_L\6f06,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\6f06,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,2.02,,0.20118,0.27428
6jd0,../pdb\human_interaction_partners\Cathepsin_L\6jd0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\6jd0,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.8,,0.1713,0.2148
6jd8,../pdb\human_interaction_partners\Cathepsin_L\6jd8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\Cathepsin_L\6jd8,..,pdb\human_interaction_partners\Cathepsin_L,X-RAY DIFFRACTION,0,1.457,,0.1916,0.2369
5ek0,../pdb\human_interaction_partners\TCP2\5ek0,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\5ek0,..,pdb\human_interaction_partners\TCP2,X-RAY DIFFRACTION,0,3.53,,0.2427,0.2719
6agf,../pdb\human_interaction_partners\TCP2\6agf,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6agf,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,3.2,,,
6du8,../pdb\human_interaction_partners\TCP2\6du8,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6du8,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,3.11,,,
6j8e,../pdb\human_interaction_partners\TCP2\6j8e,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6j8e,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,3.0,,,
6j8g,../pdb\human_interaction_partners\TCP2\6j8g,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6j8g,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,3.2,,,
6j8h,../pdb\human_interaction_partners\TCP2\6j8h,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6j8h,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,3.2,,,
6j8i,../pdb\human_interaction_partners\TCP2\6j8i,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6j8i,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,3.2,,,
6j8j,../pdb\human_interaction_partners\TCP2\6j8j,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6j8j,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,3.2,,,
6kzo,../pdb\human_interaction_partners\TCP2\6kzo,https://github.com/thorn-lab/coronavirus_structural_task_force/tree/master/pdb\human_interaction_partners\TCP2\6kzo,..,pdb\human_interaction_partners\TCP2,ELECTRON MICROSCOPY,0,3.3,,,
